episode,round,investment,repay_prop,repayment,tripled_amount,investor_gain,trustee_gain
22,1,20.0,0.0,0.0,60.0,0.0,60.0
22,2,5.0,1.0,15.0,15.0,30.0,0.0
22,3,0.0,0.0,0.0,0.0,20.0,0.0
22,4,0.0,0.0,0.0,0.0,20.0,0.0
22,5,5.0,0.0,0.0,15.0,15.0,15.0
22,6,5.0,0.0,0.0,15.0,15.0,15.0
22,7,0.0,0.0,0.0,0.0,20.0,0.0
22,8,0.0,0.0,0.0,0.0,20.0,0.0
22,9,0.0,0.0,0.0,0.0,20.0,0.0
22,10,0.0,0.0,0.0,0.0,20.0,0.0
23,1,15.0,0.0,0.0,45.0,5.0,45.0
23,2,15.0,0.0,0.0,45.0,5.0,45.0
23,3,20.0,0.0,0.0,60.0,0.0,60.0
23,4,20.0,0.0,0.0,60.0,0.0,60.0
23,5,5.0,0.0,0.0,15.0,15.0,15.0
23,6,10.0,0.5,15.0,30.0,25.0,15.0
23,7,5.0,0.0,0.0,15.0,15.0,15.0
23,8,20.0,0.0,0.0,60.0,0.0,60.0
23,9,20.0,0.0,0.0,60.0,0.0,60.0
23,10,20.0,0.0,0.0,60.0,0.0,60.0
24,1,5.0,0.0,0.0,15.0,15.0,15.0
24,2,20.0,0.0,0.0,60.0,0.0,60.0
24,3,20.0,0.0,0.0,60.0,0.0,60.0
24,4,20.0,1.0,60.0,60.0,60.0,0.0
24,5,20.0,0.0,0.0,60.0,0.0,60.0
24,6,20.0,0.0,0.0,60.0,0.0,60.0
24,7,20.0,0.0,0.0,60.0,0.0,60.0
24,8,20.0,0.0,0.0,60.0,0.0,60.0
24,9,15.0,0.0,0.0,45.0,5.0,45.0
24,10,20.0,0.0,0.0,60.0,0.0,60.0
25,1,5.0,0.0,0.0,15.0,15.0,15.0
25,2,10.0,0.0,0.0,30.0,10.0,30.0
25,3,20.0,0.0,0.0,60.0,0.0,60.0
25,4,20.0,0.0,0.0,60.0,0.0,60.0
25,5,15.0,0.0,0.0,45.0,5.0,45.0
25,6,15.0,0.5,22.5,45.0,27.5,22.5
25,7,20.0,0.0,0.0,60.0,0.0,60.0
25,8,5.0,0.0,0.0,15.0,15.0,15.0
25,9,15.0,0.0,0.0,45.0,5.0,45.0
25,10,20.0,0.0,0.0,60.0,0.0,60.0
26,1,15.0,0.0,0.0,45.0,5.0,45.0
26,2,10.0,0.0,0.0,30.0,10.0,30.0
26,3,20.0,0.0,0.0,60.0,0.0,60.0
26,4,10.0,0.0,0.0,30.0,10.0,30.0
26,5,10.0,0.0,0.0,30.0,10.0,30.0
26,6,10.0,0.0,0.0,30.0,10.0,30.0
26,7,10.0,0.0,0.0,30.0,10.0,30.0
26,8,0.0,0.0,0.0,0.0,20.0,0.0
26,9,5.0,0.0,0.0,15.0,15.0,15.0
26,10,0.0,0.0,0.0,0.0,20.0,0.0
27,1,15.0,0.0,0.0,45.0,5.0,45.0
27,2,20.0,0.0,0.0,60.0,0.0,60.0
27,3,10.0,0.0,0.0,30.0,10.0,30.0
27,4,20.0,0.0,0.0,60.0,0.0,60.0
27,5,20.0,0.75,45.0,60.0,45.0,15.0
27,6,20.0,0.0,0.0,60.0,0.0,60.0
27,7,20.0,0.5,30.0,60.0,30.0,30.0
27,8,20.0,0.0,0.0,60.0,0.0,60.0
27,9,20.0,0.0,0.0,60.0,0.0,60.0
27,10,20.0,0.0,0.0,60.0,0.0,60.0
28,1,10.0,0.0,0.0,30.0,10.0,30.0
28,2,20.0,0.0,0.0,60.0,0.0,60.0
28,3,20.0,0.0,0.0,60.0,0.0,60.0
28,4,20.0,0.0,0.0,60.0,0.0,60.0
28,5,20.0,0.0,0.0,60.0,0.0,60.0
28,6,20.0,0.0,0.0,60.0,0.0,60.0
28,7,15.0,0.5,22.5,45.0,27.5,22.5
28,8,20.0,0.0,0.0,60.0,0.0,60.0
28,9,20.0,0.0,0.0,60.0,0.0,60.0
28,10,5.0,0.0,0.0,15.0,15.0,15.0
29,1,5.0,0.0,0.0,15.0,15.0,15.0
29,2,0.0,0.0,0.0,0.0,20.0,0.0
29,3,5.0,0.0,0.0,15.0,15.0,15.0
29,4,0.0,0.0,0.0,0.0,20.0,0.0
29,5,0.0,0.0,0.0,0.0,20.0,0.0
29,6,0.0,0.0,0.0,0.0,20.0,0.0
29,7,0.0,0.0,0.0,0.0,20.0,0.0
29,8,5.0,0.0,0.0,15.0,15.0,15.0
29,9,0.0,0.0,0.0,0.0,20.0,0.0
29,10,0.0,0.0,0.0,0.0,20.0,0.0
30,1,20.0,0.0,0.0,60.0,0.0,60.0
30,2,20.0,0.0,0.0,60.0,0.0,60.0
30,3,5.0,0.0,0.0,15.0,15.0,15.0
30,4,20.0,0.0,0.0,60.0,0.0,60.0
30,5,15.0,0.0,0.0,45.0,5.0,45.0
30,6,20.0,0.0,0.0,60.0,0.0,60.0
30,7,15.0,0.0,0.0,45.0,5.0,45.0
30,8,20.0,0.0,0.0,60.0,0.0,60.0
30,9,20.0,0.0,0.0,60.0,0.0,60.0
30,10,10.0,0.0,0.0,30.0,10.0,30.0
31,1,5.0,0.0,0.0,15.0,15.0,15.0
31,2,10.0,0.0,0.0,30.0,10.0,30.0
31,3,20.0,0.0,0.0,60.0,0.0,60.0
31,4,15.0,0.0,0.0,45.0,5.0,45.0
31,5,15.0,0.0,0.0,45.0,5.0,45.0
31,6,5.0,0.0,0.0,15.0,15.0,15.0
31,7,10.0,0.75,22.5,30.0,32.5,7.5
31,8,5.0,0.0,0.0,15.0,15.0,15.0
31,9,5.0,0.0,0.0,15.0,15.0,15.0
31,10,20.0,0.0,0.0,60.0,0.0,60.0
32,1,10.0,0.0,0.0,30.0,10.0,30.0
32,2,15.0,0.0,0.0,45.0,5.0,45.0
32,3,20.0,0.0,0.0,60.0,0.0,60.0
32,4,5.0,0.0,0.0,15.0,15.0,15.0
32,5,15.0,0.0,0.0,45.0,5.0,45.0
32,6,5.0,0.0,0.0,15.0,15.0,15.0
32,7,0.0,0.0,0.0,0.0,20.0,0.0
32,8,0.0,0.75,0.0,0.0,20.0,0.0
32,9,0.0,0.0,0.0,0.0,20.0,0.0
32,10,0.0,0.0,0.0,0.0,20.0,0.0
33,1,20.0,0.0,0.0,60.0,0.0,60.0
33,2,10.0,0.0,0.0,30.0,10.0,30.0
33,3,20.0,0.0,0.0,60.0,0.0,60.0
33,4,0.0,0.0,0.0,0.0,20.0,0.0
33,5,0.0,0.0,0.0,0.0,20.0,0.0
33,6,0.0,0.0,0.0,0.0,20.0,0.0
33,7,0.0,0.0,0.0,0.0,20.0,0.0
33,8,0.0,0.0,0.0,0.0,20.0,0.0
33,9,0.0,0.0,0.0,0.0,20.0,0.0
33,10,0.0,0.0,0.0,0.0,20.0,0.0
34,1,0.0,0.0,0.0,0.0,20.0,0.0
34,2,15.0,0.0,0.0,45.0,5.0,45.0
34,3,20.0,0.0,0.0,60.0,0.0,60.0
34,4,20.0,0.0,0.0,60.0,0.0,60.0
34,5,20.0,0.0,0.0,60.0,0.0,60.0
34,6,5.0,0.0,0.0,15.0,15.0,15.0
34,7,0.0,0.75,0.0,0.0,20.0,0.0
34,8,0.0,0.0,0.0,0.0,20.0,0.0
